               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12172,            0.095043,            0.027939,          0.00075938,            0.018045,          0.00040095,          8.5144e-05,             0.12436,            0.075594,            0.024507,            0.070857,           0.0032381,           0.0032381
                   1,             0.10246,             0.12876,            0.019161,           0.0012345,            0.027754,          0.00076632,           0.0001866,             0.12364,            0.081464,            0.018967,            0.040814,           0.0065281,           0.0065281
                   2,             0.09478,             0.12554,            0.017853,           0.0021248,            0.034504,            0.001209,          0.00030282,             0.13051,             0.10204,            0.015526,            0.010726,            0.009774,            0.009774
                   3,            0.091518,             0.13036,            0.016433,           0.0072996,             0.14875,            0.010849,           0.0029409,            0.097189,             0.12494,            0.013471,            0.009802,            0.009802,            0.009802
                   4,            0.085752,             0.14176,            0.016816,            0.024576,             0.28121,            0.031878,            0.008382,            0.083639,             0.13522,            0.013032,            0.009802,            0.009802,            0.009802
                   5,            0.082632,             0.14231,            0.015802,             0.55828,             0.13627,            0.039944,           0.0080151,            0.082315,             0.13301,            0.012395,            0.009736,            0.009736,            0.009736
                   6,            0.079541,             0.14142,            0.017691,             0.56456,             0.18308,             0.05381,            0.014947,            0.078666,             0.12743,            0.012491,             0.00967,             0.00967,             0.00967
                   7,            0.076016,             0.14328,            0.016353,             0.57674,             0.19452,            0.067831,            0.023056,            0.071513,             0.16175,             0.01232,            0.009604,            0.009604,            0.009604
                   8,            0.072907,             0.14466,            0.015115,             0.58742,             0.18239,            0.074611,            0.033367,            0.070772,             0.13584,            0.011153,            0.009538,            0.009538,            0.009538
                   9,             0.07175,             0.14606,            0.014113,             0.60229,               0.159,            0.088345,            0.039888,            0.069173,               0.142,            0.010882,            0.009472,            0.009472,            0.009472
                  10,            0.071908,             0.15289,            0.014849,             0.59149,             0.13766,            0.080024,            0.036596,            0.070937,             0.12908,             0.01088,            0.009406,            0.009406,            0.009406
                  11,            0.070593,             0.14546,            0.013512,             0.63762,             0.15603,             0.11656,            0.061538,            0.063644,             0.13573,            0.011837,             0.00934,             0.00934,             0.00934
                  12,            0.069852,             0.14697,             0.01395,             0.64824,             0.16748,             0.12683,            0.061256,            0.064203,             0.13175,            0.011571,            0.009274,            0.009274,            0.009274
                  13,            0.069165,             0.14309,            0.013059,               0.684,             0.19348,             0.18479,            0.091978,            0.063024,             0.12337,            0.009449,            0.009208,            0.009208,            0.009208
                  14,            0.067674,             0.14504,             0.01296,             0.19769,              0.3239,             0.19925,            0.097609,             0.06204,             0.12447,            0.010516,            0.009142,            0.009142,            0.009142
                  15,            0.066679,             0.13998,            0.011518,             0.37608,             0.45772,             0.32396,              0.1199,            0.064857,             0.11734,           0.0073915,            0.009076,            0.009076,            0.009076
                  16,             0.06664,             0.13993,            0.010182,              0.4496,             0.38353,             0.35614,              0.1649,            0.061077,             0.11897,           0.0065865,             0.00901,             0.00901,             0.00901
                  17,            0.066272,             0.13065,           0.0092083,             0.51669,             0.40729,             0.38354,             0.17838,            0.063372,             0.11381,           0.0057854,            0.008944,            0.008944,            0.008944
                  18,            0.065135,              0.1344,           0.0085451,             0.53764,             0.43282,             0.45504,             0.20179,            0.059999,             0.11402,           0.0054792,            0.008878,            0.008878,            0.008878
                  19,            0.067297,             0.12528,           0.0075586,             0.43869,             0.44494,             0.40686,             0.18792,            0.060031,             0.11748,           0.0060509,            0.008812,            0.008812,            0.008812
                  20,            0.065994,              0.1242,           0.0069617,             0.51511,             0.42289,             0.44363,             0.21219,            0.060597,             0.11642,           0.0050968,            0.008746,            0.008746,            0.008746
                  21,            0.065156,             0.12618,           0.0068736,             0.54277,             0.49377,             0.51448,             0.23541,            0.061114,             0.10381,           0.0048189,             0.00868,             0.00868,             0.00868
                  22,            0.064126,             0.12199,           0.0060851,             0.42017,             0.52595,             0.43239,             0.19406,            0.059895,             0.10737,           0.0083956,            0.008614,            0.008614,            0.008614
                  23,            0.065047,             0.12032,           0.0056958,             0.64487,             0.51859,             0.56987,             0.27072,            0.059958,             0.10072,           0.0049736,            0.008548,            0.008548,            0.008548
                  24,            0.064411,              0.1189,           0.0058803,             0.55879,             0.50004,             0.54397,             0.26979,            0.059197,             0.10789,           0.0048115,            0.008482,            0.008482,            0.008482
                  25,            0.062626,             0.11793,           0.0056957,             0.63784,             0.46128,             0.52288,             0.26122,            0.058342,             0.10993,           0.0046843,            0.008416,            0.008416,            0.008416
                  26,            0.062589,             0.11143,           0.0049987,             0.71632,             0.52861,             0.59234,             0.29512,            0.058817,              0.1028,           0.0041893,             0.00835,             0.00835,             0.00835
                  27,            0.061725,             0.10895,           0.0046188,             0.58074,             0.48843,             0.54905,             0.28272,            0.057018,             0.11118,            0.006801,            0.008284,            0.008284,            0.008284
                  28,            0.062529,             0.11166,           0.0044635,             0.75218,             0.57137,             0.70149,             0.35292,            0.056934,            0.092899,           0.0029117,            0.008218,            0.008218,            0.008218
                  29,            0.061422,             0.10768,           0.0040991,             0.80422,             0.51881,             0.67878,             0.33067,             0.05695,            0.097145,           0.0034857,            0.008152,            0.008152,            0.008152
                  30,            0.061893,             0.10637,           0.0040064,              0.7944,             0.62837,             0.70017,             0.34533,            0.057935,            0.088709,           0.0028452,            0.008086,            0.008086,            0.008086
                  31,            0.060988,             0.10168,           0.0044105,             0.70943,             0.56162,             0.64474,             0.32112,            0.057908,            0.097137,           0.0032255,             0.00802,             0.00802,             0.00802
                  32,            0.060759,             0.10348,           0.0037866,             0.79461,             0.65945,             0.75615,             0.40166,            0.054648,            0.084534,            0.002087,            0.007954,            0.007954,            0.007954
                  33,                0.06,             0.10751,           0.0037614,             0.82032,               0.647,             0.77436,             0.40706,            0.054782,            0.081256,           0.0017838,            0.007888,            0.007888,            0.007888
                  34,             0.05975,            0.091926,           0.0035919,              0.8328,              0.5805,             0.74466,             0.39143,            0.055389,            0.089291,           0.0018593,            0.007822,            0.007822,            0.007822
                  35,             0.06037,            0.096257,           0.0033697,             0.78788,             0.68029,             0.77447,             0.42112,             0.05549,            0.079322,           0.0016395,            0.007756,            0.007756,            0.007756
                  36,            0.059981,              0.1003,            0.002961,             0.79013,             0.66445,             0.77601,              0.4095,            0.054832,            0.080074,            0.001766,             0.00769,             0.00769,             0.00769
                  37,            0.059416,            0.095712,           0.0033651,             0.84165,             0.72505,             0.80126,             0.40898,            0.055039,            0.077654,           0.0014437,            0.007624,            0.007624,            0.007624
                  38,            0.058385,            0.095589,           0.0026886,             0.80865,             0.64527,             0.73626,              0.3944,            0.056279,            0.088303,            0.001703,            0.007558,            0.007558,            0.007558
                  39,            0.058113,            0.093389,            0.002782,             0.80928,             0.69368,             0.77691,             0.40766,            0.053997,            0.084981,           0.0013442,            0.007492,            0.007492,            0.007492
                  40,            0.058028,            0.090962,           0.0028913,             0.81362,             0.74455,             0.80206,             0.43103,             0.05365,            0.078258,           0.0015987,            0.007426,            0.007426,            0.007426
                  41,            0.058266,            0.093625,           0.0023689,             0.85879,             0.70668,             0.81234,             0.44339,            0.053189,            0.077824,           0.0015314,             0.00736,             0.00736,             0.00736
                  42,            0.058131,            0.094992,           0.0027117,             0.79874,             0.73246,             0.79861,             0.43558,            0.052873,            0.077412,           0.0014987,            0.007294,            0.007294,            0.007294
                  43,            0.056647,            0.086446,           0.0024957,             0.86862,              0.7174,             0.83403,             0.45949,            0.052789,            0.073375,           0.0016061,            0.007228,            0.007228,            0.007228
                  44,            0.058329,            0.088409,           0.0025355,             0.85115,             0.74385,             0.84705,             0.44912,             0.05318,            0.072865,           0.0017611,            0.007162,            0.007162,            0.007162
                  45,            0.057351,            0.085137,           0.0026448,             0.84954,             0.74416,             0.82704,             0.43347,            0.053058,            0.073963,           0.0014141,            0.007096,            0.007096,            0.007096
