               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11957,             0.09983,            0.028271,           0.0012358,            0.019941,          0.00063551,          0.00010246,             0.10551,             0.11958,            0.021981,            0.070857,           0.0032381,           0.0032381
                   1,             0.10274,             0.13239,              0.0191,            0.016945,             0.11252,            0.012091,           0.0045734,            0.099222,             0.11934,            0.014311,            0.040814,           0.0065281,           0.0065281
                   2,            0.093903,             0.12972,            0.017733,            0.014791,            0.053398,           0.0076448,           0.0015614,            0.092457,             0.12125,            0.013701,            0.010726,            0.009774,            0.009774
                   3,             0.09089,             0.13247,            0.016306,           0.0071867,             0.17788,           0.0052221,           0.0012449,            0.095094,             0.12713,            0.013858,            0.009802,            0.009802,            0.009802
                   4,             0.08573,             0.14004,             0.01694,             0.54668,            0.069695,            0.021411,           0.0057679,            0.087825,             0.11989,            0.014151,            0.009802,            0.009802,            0.009802
                   5,            0.081249,             0.14176,            0.015805,             0.57292,             0.17996,            0.054425,            0.020317,            0.075977,             0.13665,            0.012514,            0.009736,            0.009736,            0.009736
                   6,            0.076694,             0.14434,            0.017672,             0.57275,            0.097434,            0.054155,            0.022405,            0.073862,             0.13767,            0.013461,             0.00967,             0.00967,             0.00967
                   7,            0.074929,             0.14439,             0.01608,             0.56773,             0.16193,            0.062271,            0.019978,            0.072643,             0.13385,            0.013631,            0.009604,            0.009604,            0.009604
                   8,            0.072707,             0.14374,            0.015011,              0.5914,              0.1751,            0.076424,            0.031601,            0.070201,             0.13029,            0.011313,            0.009538,            0.009538,            0.009538
                   9,            0.071252,             0.14585,            0.014232,             0.58859,              0.2004,             0.08074,            0.033833,            0.071142,             0.14388,            0.011571,            0.009472,            0.009472,            0.009472
                  10,            0.069277,             0.15494,            0.014544,             0.59183,             0.15118,            0.087347,            0.038628,            0.068858,             0.13835,            0.010835,            0.009406,            0.009406,            0.009406
                  11,            0.068019,             0.14868,            0.012986,             0.61186,             0.14494,            0.091933,             0.04791,            0.066125,             0.14497,            0.011437,             0.00934,             0.00934,             0.00934
                  12,            0.067893,             0.14807,            0.013099,             0.59425,             0.21981,             0.15815,            0.073003,            0.063507,             0.13846,           0.0096523,            0.009274,            0.009274,            0.009274
                  13,            0.067955,             0.14255,            0.012472,            0.064472,            0.082524,            0.033934,            0.011602,            0.073606,             0.14359,            0.017191,            0.009208,            0.009208,            0.009208
                  14,            0.066952,             0.14375,             0.01196,             0.36076,             0.22973,             0.17194,            0.090486,            0.063553,             0.13332,           0.0091709,            0.009142,            0.009142,            0.009142
                  15,            0.066221,             0.13668,            0.010214,             0.28495,             0.31371,             0.22106,             0.10751,             0.06357,             0.12259,            0.010712,            0.009076,            0.009076,            0.009076
                  16,            0.065232,               0.138,           0.0093166,             0.47146,             0.41425,             0.39832,             0.19141,            0.060504,             0.11575,           0.0063822,             0.00901,             0.00901,             0.00901
                  17,            0.065585,             0.12729,            0.008662,             0.55063,             0.41932,             0.45629,             0.20092,            0.062838,             0.11096,            0.005024,            0.008944,            0.008944,            0.008944
                  18,            0.064706,             0.13057,           0.0078152,             0.48163,             0.42198,             0.41679,             0.17554,            0.063459,             0.11842,           0.0055187,            0.008878,            0.008878,            0.008878
                  19,            0.066216,             0.12337,           0.0069748,             0.40477,             0.31378,             0.31076,              0.1567,            0.060593,             0.12643,           0.0066313,            0.008812,            0.008812,            0.008812
                  20,            0.065095,              0.1205,           0.0063465,             0.53752,             0.19575,             0.20749,            0.086979,            0.066099,             0.14135,            0.011194,            0.008746,            0.008746,            0.008746
                  21,            0.064118,             0.12278,           0.0062231,             0.57071,             0.57604,             0.53955,             0.26804,            0.059543,             0.11543,           0.0039368,             0.00868,             0.00868,             0.00868
                  22,            0.063034,             0.11874,           0.0052213,              0.6017,              0.4729,             0.54921,             0.26055,            0.059096,             0.10735,           0.0089367,            0.008614,            0.008614,            0.008614
                  23,            0.063351,             0.11796,           0.0049834,             0.70473,             0.55418,             0.64026,             0.31844,            0.058067,             0.09811,           0.0036679,            0.008548,            0.008548,            0.008548
                  24,            0.063465,             0.11447,            0.005358,             0.67655,              0.4839,              0.5933,             0.27406,            0.058167,             0.10308,           0.0034637,            0.008482,            0.008482,            0.008482
                  25,            0.062418,             0.11516,           0.0052254,              0.7233,             0.59217,              0.6694,             0.34273,            0.056495,            0.099049,           0.0042387,            0.008416,            0.008416,            0.008416
                  26,            0.061639,             0.10808,           0.0044145,             0.76342,             0.63706,             0.70542,             0.35956,            0.058284,            0.090717,           0.0028851,             0.00835,             0.00835,             0.00835
                  27,            0.061551,             0.10546,           0.0041195,             0.64398,             0.59236,             0.64979,             0.32848,            0.055074,             0.09116,           0.0031728,            0.008284,            0.008284,            0.008284
                  28,            0.060781,             0.10873,           0.0040471,             0.70909,             0.54653,             0.62821,             0.32139,            0.057525,            0.097389,            0.002836,            0.008218,            0.008218,            0.008218
                  29,            0.061739,              0.1041,           0.0040433,             0.78074,             0.54324,             0.65296,             0.35154,            0.055346,            0.094286,           0.0032645,            0.008152,            0.008152,            0.008152
                  30,            0.060914,             0.10327,           0.0036665,             0.68142,             0.48243,             0.57021,             0.27948,            0.059511,             0.10087,           0.0050791,            0.008086,            0.008086,            0.008086
                  31,            0.059868,             0.09868,           0.0039172,             0.77885,             0.58214,             0.71257,             0.37046,            0.054995,             0.08865,           0.0023922,             0.00802,             0.00802,             0.00802
                  32,            0.059594,             0.10039,           0.0034516,             0.79051,             0.55256,             0.68589,              0.3686,            0.055318,            0.092123,           0.0035267,            0.007954,            0.007954,            0.007954
                  33,            0.059146,             0.10374,           0.0037347,             0.80339,             0.64724,             0.76734,             0.39134,            0.054796,            0.079819,           0.0024508,            0.007888,            0.007888,            0.007888
                  34,            0.058948,            0.089956,           0.0036003,             0.52333,             0.26953,             0.31476,             0.16847,            0.061663,              0.1437,           0.0059978,            0.007822,            0.007822,            0.007822
                  35,            0.059814,            0.093222,           0.0031482,             0.80849,              0.6889,             0.77434,             0.41417,            0.056364,            0.079619,           0.0019299,            0.007756,            0.007756,            0.007756
                  36,            0.059128,            0.097267,           0.0031166,             0.74771,             0.52778,             0.65531,             0.34661,            0.055869,            0.097099,           0.0028817,             0.00769,             0.00769,             0.00769
                  37,            0.058097,            0.093871,           0.0034767,             0.64791,             0.46108,             0.54225,             0.26229,            0.060365,             0.10931,           0.0042747,            0.007624,            0.007624,            0.007624
                  38,            0.057548,            0.093926,           0.0027654,             0.82966,             0.65469,             0.76682,             0.40784,            0.056709,            0.082726,           0.0018418,            0.007558,            0.007558,            0.007558
                  39,            0.057398,             0.09119,            0.002758,             0.82077,             0.67029,             0.79878,             0.42365,            0.053735,            0.078101,           0.0018291,            0.007492,            0.007492,            0.007492
                  40,            0.057511,             0.08807,           0.0028898,             0.75757,             0.62705,              0.7395,             0.39431,             0.05545,            0.086035,           0.0022274,            0.007426,            0.007426,            0.007426
                  41,            0.057594,             0.09025,           0.0023842,              0.8198,             0.64941,             0.77335,             0.42167,            0.054237,            0.080717,           0.0016484,             0.00736,             0.00736,             0.00736
                  42,            0.057229,            0.091785,           0.0024639,             0.82231,              0.6461,             0.79031,             0.41907,            0.055131,            0.079231,            0.001672,            0.007294,            0.007294,            0.007294
                  43,            0.056382,            0.084165,           0.0023819,             0.86528,             0.73908,             0.85535,              0.4743,             0.05181,            0.069881,           0.0013525,            0.007228,            0.007228,            0.007228
                  44,            0.057474,             0.08501,           0.0026106,             0.77409,             0.51008,             0.64396,             0.34537,            0.055204,            0.095947,           0.0037543,            0.007162,            0.007162,            0.007162
                  45,            0.056637,            0.082861,           0.0026572,             0.79584,             0.67497,             0.79125,             0.41637,            0.053996,            0.077523,           0.0017426,            0.007096,            0.007096,            0.007096
                  46,            0.056719,             0.08681,           0.0021231,             0.84018,             0.66017,             0.79201,             0.41121,            0.053996,            0.077873,           0.0016623,             0.00703,             0.00703,             0.00703
                  47,            0.055267,            0.084529,           0.0024925,             0.85383,               0.767,             0.85673,             0.47767,            0.050494,            0.071319,           0.0015766,            0.006964,            0.006964,            0.006964
                  48,            0.055617,             0.08432,           0.0021444,             0.87546,             0.74896,             0.84851,             0.46111,            0.051712,            0.069854,           0.0012764,            0.006898,            0.006898,            0.006898
                  49,            0.055194,            0.081784,           0.0021603,             0.88295,             0.78454,             0.87387,             0.48912,            0.050811,            0.072719,           0.0014192,            0.006832,            0.006832,            0.006832
                  50,            0.054437,            0.081915,           0.0022314,             0.89335,             0.73976,             0.85302,             0.47249,            0.051254,            0.070775,           0.0011359,            0.006766,            0.006766,            0.006766
                  51,            0.054236,            0.079889,           0.0021164,             0.85595,              0.7672,              0.8501,             0.44968,            0.053563,            0.070919,            0.001138,              0.0067,              0.0067,              0.0067
                  52,            0.055648,             0.08273,           0.0020198,             0.87684,              0.7596,             0.86386,             0.48213,             0.05118,            0.068775,           0.0011443,            0.006634,            0.006634,            0.006634
                  53,             0.05514,            0.079244,           0.0019733,             0.86681,               0.752,              0.8593,             0.48435,            0.051546,            0.070952,            0.001295,            0.006568,            0.006568,            0.006568
                  54,            0.053719,            0.080113,           0.0020293,             0.89352,             0.75677,             0.86428,             0.49122,            0.050337,             0.06816,           0.0010121,            0.006502,            0.006502,            0.006502
                  55,            0.054608,            0.076979,           0.0018772,             0.86535,              0.7795,             0.86059,             0.48465,            0.050195,             0.06756,           0.0011235,            0.006436,            0.006436,            0.006436
                  56,            0.053692,            0.080578,           0.0020049,             0.88237,             0.78106,             0.86472,             0.49431,            0.050308,            0.067351,            0.001082,             0.00637,             0.00637,             0.00637
                  57,            0.053408,            0.079751,           0.0017023,             0.87345,             0.79578,             0.87486,             0.48369,            0.051731,            0.068095,            0.001086,            0.006304,            0.006304,            0.006304
                  58,              0.0538,            0.078357,           0.0016455,             0.86979,             0.70862,             0.82813,             0.45663,            0.051589,            0.076503,           0.0014287,            0.006238,            0.006238,            0.006238
                  59,            0.053969,            0.074202,           0.0015277,             0.86202,             0.74306,             0.85341,             0.47855,             0.04974,            0.068865,          0.00094371,            0.006172,            0.006172,            0.006172
                  60,            0.053296,            0.073922,           0.0020285,             0.89877,             0.76845,             0.88055,             0.48817,            0.049991,            0.068161,          0.00093005,            0.006106,            0.006106,            0.006106
                  61,            0.053293,            0.076965,           0.0015485,              0.8949,             0.77709,             0.86562,             0.48849,            0.050183,            0.069597,           0.0010466,             0.00604,             0.00604,             0.00604
                  62,            0.053203,             0.07176,           0.0014005,             0.86198,             0.80559,              0.8758,             0.48094,            0.051345,            0.070461,          0.00097303,            0.005974,            0.005974,            0.005974
                  63,            0.053611,            0.072469,           0.0012988,             0.89972,             0.81384,             0.89631,             0.50727,            0.050857,            0.066452,            0.000775,            0.005908,            0.005908,            0.005908
                  64,            0.052515,            0.074525,           0.0015531,             0.90486,             0.82141,             0.89411,              0.5089,            0.049953,             0.06475,          0.00087562,            0.005842,            0.005842,            0.005842
                  65,            0.052789,             0.07835,           0.0013648,             0.90941,             0.83032,             0.90698,              0.5141,            0.049418,            0.063428,          0.00080283,            0.005776,            0.005776,            0.005776
                  66,            0.052099,            0.076583,            0.001538,             0.86851,             0.75891,             0.86566,             0.47766,            0.050704,            0.073368,           0.0012404,             0.00571,             0.00571,             0.00571
                  67,            0.052123,            0.075876,           0.0014371,             0.90056,             0.83183,             0.89994,             0.51879,            0.049489,            0.065004,          0.00071111,            0.005644,            0.005644,            0.005644
                  68,            0.051934,            0.072891,            0.001325,             0.89826,             0.82507,             0.89842,             0.51187,            0.049594,            0.065885,          0.00068119,            0.005578,            0.005578,            0.005578
                  69,            0.052764,             0.07301,           0.0014481,             0.89365,             0.83613,             0.90518,             0.52015,            0.049262,            0.063444,          0.00073664,            0.005512,            0.005512,            0.005512
                  70,            0.051626,             0.07022,           0.0012975,             0.90463,             0.79305,             0.89519,              0.5197,            0.049341,            0.065375,          0.00077755,            0.005446,            0.005446,            0.005446
                  71,            0.051622,            0.069172,           0.0014169,             0.88198,             0.78271,             0.86985,             0.49162,            0.049833,            0.069311,          0.00097113,             0.00538,             0.00538,             0.00538
                  72,             0.05209,            0.072703,           0.0014433,              0.9262,             0.85321,             0.91978,             0.53106,            0.049269,            0.062315,          0.00068376,            0.005314,            0.005314,            0.005314
                  73,            0.051996,            0.070588,           0.0012143,             0.91976,             0.84595,             0.91634,             0.53186,            0.047913,            0.062031,          0.00065491,            0.005248,            0.005248,            0.005248
                  74,            0.051443,            0.072085,           0.0012686,             0.82603,             0.52442,             0.69195,             0.38504,            0.053189,             0.09816,           0.0023317,            0.005182,            0.005182,            0.005182
                  75,            0.050811,            0.069881,           0.0012313,             0.89029,             0.80017,             0.88501,             0.50936,            0.048698,              0.0672,          0.00091059,            0.005116,            0.005116,            0.005116
                  76,            0.051407,            0.069484,            0.001242,             0.88404,              0.7448,             0.85473,             0.48455,            0.050177,            0.075042,           0.0010134,             0.00505,             0.00505,             0.00505
                  77,            0.051336,            0.073367,           0.0014514,             0.90643,             0.81015,             0.89262,             0.50948,            0.048722,            0.065774,          0.00083773,            0.004984,            0.004984,            0.004984
                  78,            0.050658,            0.069604,           0.0014202,             0.90269,             0.85186,             0.90954,             0.52628,            0.048854,            0.062947,          0.00075629,            0.004918,            0.004918,            0.004918
                  79,            0.050344,            0.068055,           0.0011177,             0.89756,             0.84856,             0.90956,             0.52885,            0.048667,            0.063046,          0.00076045,            0.004852,            0.004852,            0.004852
                  80,            0.050086,            0.065948,            0.001126,             0.90844,             0.87711,             0.92364,              0.5401,            0.048406,            0.060905,          0.00066137,            0.004786,            0.004786,            0.004786
                  81,            0.050359,            0.069665,           0.0011636,             0.92132,             0.83054,             0.90665,              0.5215,            0.049189,            0.064139,          0.00088596,             0.00472,             0.00472,             0.00472
                  82,            0.049893,            0.068432,           0.0012935,              0.9262,             0.85129,             0.92063,             0.54384,             0.04778,            0.061047,          0.00052092,            0.004654,            0.004654,            0.004654
                  83,            0.050359,            0.068344,           0.0011352,             0.90063,             0.86674,             0.91626,             0.53443,            0.048237,            0.063376,          0.00055805,            0.004588,            0.004588,            0.004588
                  84,            0.049959,            0.069757,          0.00098777,             0.91069,              0.8578,             0.91465,             0.52838,            0.048031,            0.061123,          0.00065908,            0.004522,            0.004522,            0.004522
                  85,            0.049526,             0.06784,           0.0011123,             0.90664,             0.83792,             0.91081,             0.53657,            0.048339,            0.062875,            0.000612,            0.004456,            0.004456,            0.004456
                  86,             0.04976,            0.067269,          0.00088297,             0.91135,              0.8621,             0.92398,             0.54173,            0.047785,            0.062122,          0.00059816,             0.00439,             0.00439,             0.00439
                  87,            0.049715,            0.066206,           0.0010716,             0.91994,             0.83858,             0.91622,              0.5406,            0.048175,            0.064357,          0.00058622,            0.004324,            0.004324,            0.004324
                  88,            0.050043,            0.071187,           0.0010917,             0.92027,             0.85554,             0.91865,             0.53874,            0.047995,            0.062312,           0.0004598,            0.004258,            0.004258,            0.004258
                  89,            0.050544,            0.072289,          0.00096601,             0.90927,             0.82097,             0.89768,             0.51951,            0.048388,            0.063843,          0.00069348,            0.004192,            0.004192,            0.004192
                  90,            0.049491,            0.067003,           0.0010844,             0.91852,             0.85498,             0.91097,             0.53486,            0.047886,            0.061671,          0.00052497,            0.004126,            0.004126,            0.004126
                  91,            0.049242,            0.067919,          0.00099272,              0.9203,              0.8504,              0.9174,             0.54382,            0.048217,            0.061698,          0.00043594,             0.00406,             0.00406,             0.00406
                  92,            0.048764,            0.069404,          0.00090954,             0.93219,             0.84614,             0.90944,             0.53683,            0.047639,            0.062478,           0.0005217,            0.003994,            0.003994,            0.003994
                  93,            0.049663,            0.069153,           0.0010917,             0.89471,             0.79698,             0.88761,             0.51052,            0.048511,            0.067636,          0.00060757,            0.003928,            0.003928,            0.003928
                  94,            0.049014,            0.065893,          0.00096851,             0.92209,             0.87079,             0.92864,             0.54787,            0.047438,            0.060525,          0.00042433,            0.003862,            0.003862,            0.003862
                  95,            0.049338,            0.066867,           0.0010059,             0.91941,             0.87495,             0.92038,             0.54995,            0.047733,            0.062431,          0.00049255,            0.003796,            0.003796,            0.003796
                  96,            0.048446,            0.063203,           0.0010277,             0.92669,             0.87564,             0.92574,             0.53704,            0.048023,            0.061964,          0.00045003,             0.00373,             0.00373,             0.00373
                  97,            0.048375,            0.066052,          0.00091348,              0.9178,             0.84769,             0.91181,             0.53592,            0.048087,            0.062408,          0.00048498,            0.003664,            0.003664,            0.003664
                  98,            0.047786,            0.063755,          0.00090043,             0.91832,             0.85072,             0.91178,             0.54813,            0.047904,            0.063081,          0.00052949,            0.003598,            0.003598,            0.003598
                  99,            0.048703,            0.068732,          0.00083192,             0.90548,              0.8274,             0.90492,              0.5319,            0.048141,            0.063313,          0.00045156,            0.003532,            0.003532,            0.003532
                 100,            0.048717,            0.066698,          0.00091264,             0.92873,             0.88153,             0.93425,             0.55345,             0.04751,            0.059671,          0.00037215,            0.003466,            0.003466,            0.003466
                 101,             0.04823,            0.066153,          0.00080676,             0.91083,              0.8666,             0.92139,             0.54254,            0.048003,            0.061602,          0.00045246,              0.0034,              0.0034,              0.0034
                 102,            0.048072,            0.065176,          0.00080621,             0.91959,             0.82166,             0.89917,             0.53417,            0.048123,            0.064198,          0.00057364,            0.003334,            0.003334,            0.003334
                 103,            0.048102,            0.065323,          0.00076765,             0.92367,             0.87916,             0.92326,             0.55192,            0.047257,            0.060479,          0.00038348,            0.003268,            0.003268,            0.003268
                 104,            0.047447,            0.064533,          0.00086769,             0.91211,             0.87691,             0.91738,             0.54133,            0.047386,            0.062748,          0.00039063,            0.003202,            0.003202,            0.003202
                 105,            0.047863,            0.062101,          0.00081276,             0.90855,             0.85238,             0.91034,             0.53723,            0.047438,            0.062824,           0.0004468,            0.003136,            0.003136,            0.003136
                 106,             0.04744,            0.064528,           0.0006269,             0.93315,             0.88396,             0.92743,              0.5617,            0.046715,            0.059859,          0.00033534,             0.00307,             0.00307,             0.00307
                 107,            0.047916,            0.068225,          0.00073684,             0.91228,             0.86678,             0.91904,             0.55837,            0.046929,            0.060228,          0.00033799,            0.003004,            0.003004,            0.003004
                 108,            0.047742,            0.061559,          0.00072362,             0.91638,             0.80987,             0.89189,             0.51559,            0.048162,            0.066772,           0.0005267,            0.002938,            0.002938,            0.002938
                 109,            0.048024,            0.066245,          0.00066198,             0.93568,             0.86263,             0.91957,              0.5473,            0.047268,             0.05999,          0.00038801,            0.002872,            0.002872,            0.002872
                 110,            0.047243,            0.061744,          0.00075047,             0.93178,             0.82904,             0.91185,             0.54018,            0.048038,            0.065372,          0.00042393,            0.002806,            0.002806,            0.002806
                 111,            0.046995,            0.061843,          0.00065621,             0.91892,             0.86522,             0.92346,             0.55763,            0.046971,            0.060277,          0.00041344,             0.00274,             0.00274,             0.00274
                 112,            0.047661,            0.065412,          0.00072417,             0.92361,              0.8638,             0.92479,             0.54669,            0.047363,            0.061311,          0.00036781,            0.002674,            0.002674,            0.002674
                 113,            0.047066,            0.063491,            0.000761,             0.92796,             0.86685,             0.92432,             0.55765,             0.04693,            0.060799,          0.00039374,            0.002608,            0.002608,            0.002608
                 114,            0.047392,            0.061049,          0.00060938,             0.91664,             0.89264,             0.92794,             0.56565,             0.04688,            0.059364,          0.00031941,            0.002542,            0.002542,            0.002542
