               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10984,             0.12868,            0.025821,          0.00054914,            0.013523,          0.00029852,          5.5327e-05,            0.098916,             0.13032,            0.023262,            0.070857,           0.0032381,           0.0032381
                   1,             0.10077,             0.14975,            0.022019,           0.0020282,            0.035021,            0.001107,          0.00029413,            0.093782,             0.13874,            0.019944,            0.040814,           0.0065281,           0.0065281
                   2,            0.092654,             0.14189,            0.018973,            0.011378,             0.27982,            0.019904,            0.005204,              0.0881,             0.12849,            0.016025,            0.010726,            0.009774,            0.009774
                   3,            0.088008,             0.14102,            0.016563,             0.56334,            0.082178,            0.037847,            0.012805,            0.082326,             0.13039,            0.014061,            0.009802,            0.009802,            0.009802
                   4,            0.084678,             0.14289,            0.016577,             0.56441,             0.11096,            0.053248,            0.015406,            0.079744,             0.12402,            0.011961,            0.009802,            0.009802,            0.009802
                   5,            0.079899,             0.14421,            0.015308,             0.58915,              0.1699,            0.070981,            0.026597,            0.075306,             0.12676,             0.01119,            0.009736,            0.009736,            0.009736
                   6,            0.077549,             0.14259,            0.017232,             0.59996,             0.15811,            0.078257,            0.031433,            0.072852,             0.13159,            0.012143,             0.00967,             0.00967,             0.00967
                   7,            0.075618,             0.14296,            0.015632,              0.5883,             0.16434,            0.082246,            0.034677,            0.069961,             0.13071,            0.011799,            0.009604,            0.009604,            0.009604
                   8,              0.0734,             0.14305,            0.014825,             0.60535,             0.16956,            0.092332,            0.041689,            0.069482,             0.13006,             0.01049,            0.009538,            0.009538,            0.009538
                   9,            0.073608,             0.14301,            0.013767,             0.61479,             0.17926,             0.10331,            0.048014,             0.06931,              0.1292,            0.010312,            0.009472,            0.009472,            0.009472
                  10,             0.07301,              0.1496,            0.013928,             0.61632,             0.13245,            0.099194,            0.047037,            0.067666,             0.13875,            0.011744,            0.009406,            0.009406,            0.009406
