               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10474,              0.1217,            0.025723,           0.0054062,             0.13384,           0.0036101,           0.0010082,            0.087361,             0.12663,            0.023985,            0.070857,           0.0032381,           0.0032381
                   1,            0.092529,             0.14514,            0.022682,           0.0088924,             0.15673,           0.0062748,           0.0021236,            0.081093,               0.137,            0.020679,            0.040814,           0.0065281,           0.0065281
                   2,            0.083657,              0.1399,            0.020122,            0.019135,             0.24896,            0.024726,           0.0078321,            0.072828,             0.12801,            0.016791,            0.010726,            0.009774,            0.009774
                   3,             0.07802,             0.13872,            0.017523,             0.56011,              0.1172,            0.044201,            0.012653,            0.070912,             0.12618,            0.015364,            0.009802,            0.009802,            0.009802
                   4,            0.073717,             0.14023,            0.017085,             0.56955,              0.1165,            0.057356,            0.018172,            0.065366,             0.12999,            0.013832,            0.009802,            0.009802,            0.009802
                   5,            0.069133,             0.14005,            0.016038,             0.58713,             0.12037,            0.067822,            0.024345,            0.060825,             0.12634,            0.012512,            0.009736,            0.009736,            0.009736
                   6,            0.064687,             0.13981,            0.017847,             0.59738,            0.097781,             0.06174,            0.025995,            0.057494,             0.14039,            0.014266,             0.00967,             0.00967,             0.00967
                   7,            0.063573,             0.13969,            0.016466,              0.5971,             0.19244,             0.08295,             0.03811,            0.052999,              0.1282,            0.012225,            0.009604,            0.009604,            0.009604
                   8,            0.060246,             0.14047,            0.015662,             0.59638,             0.17961,            0.083447,            0.029397,            0.057103,             0.12639,            0.012318,            0.009538,            0.009538,            0.009538
                   9,            0.061153,              0.1404,            0.014592,             0.60532,             0.21325,               0.103,            0.046597,            0.052663,             0.12673,            0.011395,            0.009472,            0.009472,            0.009472
                  10,            0.059737,             0.14731,            0.015596,             0.62295,             0.18759,             0.11164,            0.054547,            0.050005,             0.12728,            0.012051,            0.009406,            0.009406,            0.009406
                  11,            0.059157,             0.14076,            0.014199,             0.64139,             0.18716,             0.13629,            0.067352,            0.051398,              0.1246,             0.01186,             0.00934,             0.00934,             0.00934
                  12,            0.058916,             0.14149,            0.014732,             0.63986,             0.17753,             0.13819,            0.059609,            0.052483,             0.12293,            0.011523,            0.009274,            0.009274,            0.009274
                  13,            0.057809,             0.13912,            0.014272,             0.64043,             0.17537,             0.13771,            0.066514,            0.049039,             0.13406,            0.011559,            0.009208,            0.009208,            0.009208
                  14,            0.057641,             0.14017,            0.014244,             0.69261,             0.18771,             0.17505,            0.085297,            0.049273,             0.12275,           0.0096786,            0.009142,            0.009142,            0.009142
                  15,            0.057532,              0.1334,             0.01364,             0.69414,             0.19521,             0.18887,            0.090347,              0.0506,              0.1203,            0.010903,            0.009076,            0.009076,            0.009076
                  16,            0.056232,             0.13692,            0.013132,             0.68239,             0.16678,              0.1763,            0.083868,            0.049845,             0.12276,            0.010384,             0.00901,             0.00901,             0.00901
                  17,            0.056412,             0.12795,            0.013507,             0.71491,             0.18828,             0.21561,             0.10235,            0.050259,             0.11434,           0.0098043,            0.008944,            0.008944,            0.008944
                  18,            0.056528,             0.13173,            0.012724,             0.75956,             0.24376,             0.33277,             0.16067,              0.0484,              0.1077,           0.0084347,            0.008878,            0.008878,            0.008878
                  19,            0.058099,             0.12316,            0.011667,             0.41276,             0.37611,             0.35642,             0.16792,            0.048552,              0.1081,           0.0075764,            0.008812,            0.008812,            0.008812
                  20,            0.056573,             0.12122,             0.01016,             0.51961,             0.31159,             0.27728,             0.11512,            0.051952,             0.11632,           0.0080036,            0.008746,            0.008746,            0.008746
                  21,            0.056984,              0.1226,           0.0096064,              0.3445,             0.34011,              0.2901,             0.12538,            0.050223,             0.11289,           0.0097137,             0.00868,             0.00868,             0.00868
                  22,            0.056934,             0.11835,           0.0084944,             0.47312,             0.49371,             0.42689,             0.17731,            0.049829,             0.10272,           0.0077545,            0.008614,            0.008614,            0.008614
                  23,            0.057019,             0.11739,           0.0073737,             0.50211,             0.36768,              0.3685,             0.17087,             0.05155,             0.10898,           0.0065477,            0.008548,            0.008548,            0.008548
                  24,            0.056739,             0.11315,           0.0070323,             0.41324,            0.090507,             0.12107,            0.058359,            0.050395,             0.17482,            0.011633,            0.008482,            0.008482,            0.008482
                  25,            0.055839,             0.11335,           0.0065031,             0.63955,             0.10484,            0.098714,            0.048738,             0.05098,             0.15427,            0.011727,            0.008416,            0.008416,            0.008416
                  26,            0.055153,             0.10721,           0.0058175,             0.64091,             0.55672,             0.60941,             0.28426,            0.048895,            0.091823,           0.0042615,             0.00835,             0.00835,             0.00835
                  27,            0.055594,             0.10372,           0.0055954,             0.64206,             0.55656,             0.60865,             0.28328,              0.0471,            0.089578,           0.0037582,            0.008284,            0.008284,            0.008284
                  28,            0.054461,             0.10657,           0.0050922,              0.6036,             0.32828,             0.36408,              0.1686,            0.048999,             0.11375,           0.0084557,            0.008218,            0.008218,            0.008218
                  29,            0.055582,             0.10355,           0.0047864,             0.66499,             0.58443,             0.59937,             0.27366,            0.049126,            0.090072,           0.0041195,            0.008152,            0.008152,            0.008152
                  30,            0.055211,             0.10126,           0.0044937,             0.71825,             0.62437,             0.66635,             0.31011,            0.050143,            0.089799,           0.0032043,            0.008086,            0.008086,            0.008086
                  31,            0.054127,            0.096808,           0.0045353,             0.74029,             0.60702,             0.70106,             0.34906,            0.045837,            0.083127,           0.0031511,             0.00802,             0.00802,             0.00802
                  32,            0.054636,            0.099057,           0.0042673,             0.69632,             0.58823,             0.65197,             0.31247,            0.047151,            0.082261,           0.0028453,            0.007954,            0.007954,            0.007954
                  33,            0.053341,             0.10281,           0.0041687,             0.72572,              0.5978,             0.68516,             0.33981,            0.045886,            0.082301,           0.0027351,            0.007888,            0.007888,            0.007888
                  34,            0.054477,            0.089302,           0.0040777,              0.7254,             0.61966,             0.68773,             0.33827,            0.046662,            0.083835,           0.0030064,            0.007822,            0.007822,            0.007822
                  35,            0.054369,            0.092631,           0.0035389,             0.74601,              0.6178,             0.68746,             0.34185,            0.046618,            0.080101,           0.0023913,            0.007756,            0.007756,            0.007756
                  36,            0.054277,             0.09657,           0.0034714,             0.78302,             0.68564,             0.75066,             0.36489,            0.047582,            0.073408,           0.0017825,             0.00769,             0.00769,             0.00769
                  37,            0.054305,            0.092099,           0.0036143,              0.7438,             0.66218,             0.73621,             0.36492,            0.047571,            0.079294,           0.0018471,            0.007624,            0.007624,            0.007624
                  38,            0.053195,            0.092546,           0.0032408,             0.75908,              0.6142,             0.71166,             0.36198,            0.045205,            0.078335,           0.0026309,            0.007558,            0.007558,            0.007558
                  39,             0.05237,            0.089833,           0.0028132,              0.7708,             0.69158,             0.76556,             0.39033,            0.045866,             0.07359,           0.0017558,            0.007492,            0.007492,            0.007492
                  40,            0.052806,            0.086067,           0.0030699,              0.7878,             0.72016,             0.76811,             0.38819,            0.044803,            0.071914,           0.0019051,            0.007426,            0.007426,            0.007426
                  41,            0.052682,            0.090817,           0.0028222,             0.53448,             0.50086,             0.53309,             0.22795,            0.049268,             0.10428,           0.0044291,             0.00736,             0.00736,             0.00736
                  42,               0.053,            0.091055,           0.0026244,             0.78661,             0.70704,               0.792,             0.41761,            0.045203,            0.072452,           0.0016818,            0.007294,            0.007294,            0.007294
                  43,            0.051171,            0.084019,           0.0025856,             0.78007,             0.72814,             0.79371,             0.41358,            0.043549,            0.070244,           0.0013647,            0.007228,            0.007228,            0.007228
                  44,            0.052292,            0.085154,           0.0025288,             0.80844,             0.68162,             0.78254,              0.4104,             0.04541,            0.073216,            0.001487,            0.007162,            0.007162,            0.007162
                  45,            0.052273,            0.083057,            0.002931,             0.76929,             0.70783,             0.75435,             0.37962,            0.047521,            0.072754,           0.0017946,            0.007096,            0.007096,            0.007096
                  46,            0.052013,            0.087655,           0.0023281,             0.76704,             0.74791,             0.79792,             0.40901,            0.044051,            0.069225,            0.001888,             0.00703,             0.00703,             0.00703
                  47,            0.051071,            0.084758,           0.0026257,             0.76266,             0.71503,             0.79285,             0.41506,            0.044144,            0.070155,           0.0016561,            0.006964,            0.006964,            0.006964
                  48,            0.051199,            0.084081,            0.002063,             0.77801,             0.72404,             0.79679,             0.41363,            0.043713,             0.07228,            0.001287,            0.006898,            0.006898,            0.006898
                  49,            0.051086,            0.081565,           0.0022457,             0.83373,             0.72649,             0.81115,              0.4155,            0.044224,            0.069368,           0.0011959,            0.006832,            0.006832,            0.006832
                  50,            0.050647,            0.081655,            0.002217,             0.81466,             0.70713,             0.79459,             0.40949,             0.04492,             0.07179,           0.0014098,            0.006766,            0.006766,            0.006766
                  51,            0.050323,            0.079791,           0.0021622,             0.79145,             0.80916,             0.84575,             0.45929,            0.043006,             0.06654,          0.00096514,              0.0067,              0.0067,              0.0067
                  52,            0.050046,            0.082553,            0.002133,             0.80266,             0.74911,             0.83012,             0.43383,            0.043263,             0.06587,            0.001224,            0.006634,            0.006634,            0.006634
                  53,            0.049999,             0.07956,           0.0020976,             0.85067,             0.75191,             0.84031,             0.43936,            0.043598,            0.064814,           0.0010086,            0.006568,            0.006568,            0.006568
                  54,              0.0504,            0.080799,           0.0020389,             0.77096,             0.57859,             0.70444,             0.36803,            0.044311,            0.088302,           0.0021255,            0.006502,            0.006502,            0.006502
                  55,            0.050564,            0.077371,           0.0018143,              0.8225,             0.71027,             0.80009,             0.40921,            0.044693,            0.068602,           0.0010133,            0.006436,            0.006436,            0.006436
                  56,            0.048936,            0.081383,           0.0020639,             0.64653,             0.64468,             0.69223,             0.33696,            0.046041,            0.091011,           0.0020525,             0.00637,             0.00637,             0.00637
                  57,            0.048766,            0.080245,           0.0016014,             0.82458,             0.76926,             0.85146,              0.4533,            0.044135,            0.063303,          0.00085888,            0.006304,            0.006304,            0.006304
                  58,            0.049285,            0.078608,           0.0017607,             0.75941,             0.73129,             0.80481,             0.40638,             0.04493,            0.071671,           0.0010786,            0.006238,            0.006238,            0.006238
                  59,            0.048704,            0.075159,           0.0015641,             0.82649,             0.77696,             0.84201,             0.45732,            0.042432,             0.06516,          0.00088696,            0.006172,            0.006172,            0.006172
                  60,            0.049497,            0.074697,           0.0019262,             0.85049,             0.74701,             0.84533,             0.44704,            0.042785,             0.06827,          0.00086224,            0.006106,            0.006106,            0.006106
                  61,            0.048768,            0.076916,           0.0015921,             0.82148,             0.71809,             0.81938,             0.44505,            0.043151,            0.069933,           0.0011396,             0.00604,             0.00604,             0.00604
                  62,            0.049136,            0.073216,           0.0014568,             0.79651,             0.76303,             0.83248,             0.44399,            0.043013,            0.071879,           0.0006187,            0.005974,            0.005974,            0.005974
                  63,            0.049558,            0.073225,           0.0013777,             0.83021,             0.77118,             0.84728,             0.46059,            0.042382,            0.067567,          0.00086489,            0.005908,            0.005908,            0.005908
                  64,            0.047297,             0.07489,           0.0016408,             0.85622,             0.78304,             0.86308,             0.46538,            0.042477,            0.064055,          0.00075347,            0.005842,            0.005842,            0.005842
                  65,             0.04889,             0.07921,            0.001232,             0.81894,              0.6426,             0.75484,             0.37127,            0.045308,            0.076478,           0.0011537,            0.005776,            0.005776,            0.005776
                  66,            0.048123,            0.076731,           0.0016235,             0.85199,             0.75732,             0.84739,             0.43247,            0.042781,            0.064294,          0.00071677,             0.00571,             0.00571,             0.00571
                  67,            0.048159,            0.075959,           0.0015834,             0.86069,             0.79169,             0.87104,              0.4693,            0.041628,            0.061154,          0.00068495,            0.005644,            0.005644,            0.005644
                  68,            0.048092,            0.073224,           0.0014897,             0.85098,               0.761,             0.84036,             0.44922,             0.04238,            0.065839,           0.0010077,            0.005578,            0.005578,            0.005578
                  69,            0.048502,            0.073284,           0.0015307,             0.84051,             0.79408,             0.85395,             0.45991,            0.041557,            0.062916,          0.00066447,            0.005512,            0.005512,            0.005512
                  70,            0.047627,            0.071575,           0.0012452,             0.85762,             0.73092,             0.84285,             0.45147,            0.043005,             0.06614,          0.00069227,            0.005446,            0.005446,            0.005446
                  71,            0.047776,            0.070183,           0.0015607,             0.83008,             0.73767,             0.82037,             0.45126,            0.041781,            0.067439,           0.0010091,             0.00538,             0.00538,             0.00538
                  72,            0.047975,            0.073629,           0.0015389,             0.50193,             0.42001,             0.46353,              0.2325,            0.048293,             0.14333,           0.0047154,            0.005314,            0.005314,            0.005314
                  73,            0.048202,            0.071731,           0.0011533,              0.8435,             0.81281,             0.86876,              0.4731,             0.04129,             0.06212,          0.00063673,            0.005248,            0.005248,            0.005248
                  74,            0.047632,             0.07217,           0.0012413,              0.8397,             0.79754,             0.86785,              0.4727,            0.041565,             0.06101,          0.00067286,            0.005182,            0.005182,            0.005182
                  75,            0.047089,            0.070886,           0.0012067,             0.83876,             0.82219,             0.86672,              0.4733,            0.041603,            0.062375,          0.00079825,            0.005116,            0.005116,            0.005116
                  76,            0.048006,            0.070387,           0.0012679,             0.84595,             0.80732,             0.87516,             0.46366,            0.042195,            0.062301,          0.00080712,             0.00505,             0.00505,             0.00505
                  77,            0.047446,            0.073366,           0.0015427,             0.81322,             0.80028,             0.86154,             0.47175,            0.042304,            0.062679,          0.00083885,            0.004984,            0.004984,            0.004984
                  78,            0.047281,            0.071031,           0.0013053,             0.84607,             0.80291,             0.86499,             0.48018,            0.041007,            0.060781,          0.00071175,            0.004918,            0.004918,            0.004918
                  79,            0.046127,            0.069014,           0.0010661,             0.87117,             0.81096,             0.87583,               0.478,            0.041301,            0.060978,          0.00061184,            0.004852,            0.004852,            0.004852
                  80,            0.045513,            0.067445,            0.001141,              0.8567,             0.82607,             0.87889,             0.48437,            0.040999,            0.060599,          0.00059608,            0.004786,            0.004786,            0.004786
                  81,            0.046856,            0.070277,           0.0011858,              0.8931,             0.78693,             0.88271,             0.47465,            0.042171,             0.06037,          0.00065839,             0.00472,             0.00472,             0.00472
                  82,            0.046409,            0.070198,           0.0012539,             0.84437,             0.79612,             0.86613,              0.4775,            0.040891,            0.060234,          0.00083709,            0.004654,            0.004654,            0.004654
                  83,            0.047479,            0.069737,           0.0010496,             0.84721,             0.81331,             0.86985,             0.47717,            0.040956,            0.059057,           0.0007497,            0.004588,            0.004588,            0.004588
                  84,            0.046692,            0.070197,           0.0010574,             0.84676,             0.81417,             0.87606,             0.47695,            0.041559,            0.059267,          0.00072945,            0.004522,            0.004522,            0.004522
                  85,            0.046232,            0.068468,           0.0011018,             0.86957,             0.80892,             0.88441,             0.48818,            0.041052,            0.059759,          0.00062444,            0.004456,            0.004456,            0.004456
                  86,            0.045413,            0.068031,           0.0009232,             0.84428,             0.81602,             0.88249,             0.50368,             0.04044,            0.058871,          0.00048596,             0.00439,             0.00439,             0.00439
                  87,            0.045737,              0.0676,           0.0009772,              0.8408,              0.8385,             0.88037,             0.50187,            0.040321,            0.059796,          0.00044621,            0.004324,            0.004324,            0.004324
                  88,            0.046136,            0.072279,          0.00096931,             0.83542,             0.80179,             0.86933,             0.48678,            0.040968,            0.063826,          0.00073785,            0.004258,            0.004258,            0.004258
                  89,            0.046186,            0.073175,          0.00097105,             0.85147,             0.73465,              0.8332,             0.44791,            0.041825,            0.068799,          0.00099068,            0.004192,            0.004192,            0.004192
                  90,            0.046096,            0.069416,           0.0012366,             0.87015,             0.84193,             0.89779,             0.49518,            0.040348,             0.05804,          0.00056522,            0.004126,            0.004126,            0.004126
                  91,            0.045457,            0.069983,          0.00093562,             0.84412,             0.83448,             0.88286,             0.50067,             0.04035,            0.059308,           0.0006158,             0.00406,             0.00406,             0.00406
                  92,            0.045352,             0.07113,           0.0008724,              0.8702,             0.80962,             0.87531,             0.49522,            0.040692,            0.059872,           0.0006078,            0.003994,            0.003994,            0.003994
                  93,            0.045796,            0.070669,          0.00099988,             0.86471,             0.81928,             0.88785,             0.50275,            0.040359,            0.058276,          0.00053176,            0.003928,            0.003928,            0.003928
                  94,            0.045713,            0.067569,           0.0011328,             0.85794,             0.76059,             0.85542,              0.4659,            0.041091,            0.064923,          0.00069704,            0.003862,            0.003862,            0.003862
                  95,            0.045627,            0.068549,           0.0010149,             0.87569,             0.82432,             0.89341,             0.50161,            0.040193,            0.058655,          0.00037051,            0.003796,            0.003796,            0.003796
